1,0,נוריות לא דולקות
2,1,האם הנורית הירוקה דולקת?
3,2,יש ללחוץ במרכז השקע. האם הגיע למוקד?
4,3,"מצוין, תודה"
5,2, יש ללחוץ במרכז השקע. האם לא הגיע למוקד?
6,5,אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני
7,1,האם הנורית הירוקה כבויה?
8,7,יש לחבר את השנאי לשקע בקיר ולחברו למוקדנית בשקע PWR. האם המוקדנית נדלקה?
9,8,יש ללחוץ במרכז השקע. האם הגיע למוקד?
10,9,"מצוין, תודה"
11,7,יש לחבר את השנאי לשקע בקיר ולחברו למוקדנית בשקע PWR. האם המוקדנית עדיין כבויה?
12,11,יש להעביר את בורר המכשיר {נמצא ליד שקע PWR} למצב ON. האם הנורית הירוקה דלוקה?
13,12,יש ללחוץ במרכז השקע. האם הגיע למוקד?
14,13,"מצוין, תודה"
15,11, יש להעביר את בורר המכשיר {נמצא ליד שקע PWR} למצב ON. האם הנורית הירוקה כבויה?
16,15,אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
