1,0, אפליקציה לא תקינה
2,1,יש לסגור את האפליקציה ולהפעילה מחדש. האם הסתדר?
3,2,יש לפנות למוקד הרפואי על מנת להעביר שידור. 
4,1,האם לא הסתדר?
5,4,יש לסגור את האפליקציה ממנהל היישומים ולהפעילה מחדש. האם הסתדר? 
6,5,יש לפנות למוקד הרפואי על מנת להעביר שידור. 
7,4,האם לא הסתדר?
8,7,"יש לתקן מכשיר, אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני"
9,0, לא מתחבר לטלפון סלולרי
10,9,יש לבדוק שה bluetooth מחובר למכשיר במסך הסלולרי. האם הסתדר?
11,10,יש לפנות למוקד הרפואי על מנת להעביר שידור.
12,9,האם לא הסתדר?
13,12,יש לכבות ולהדליק את ה bluetooth. האם הסתדר?
14,13,יש לפנות למוקד הרפואי על מנת להעביר שידור.
15,12,האם לא הסתדר?
16,15,יש לכבות את אפליקציית סמארט הארט ולהפעילה מחדש. האם הסתדר?
17,16,יש לפנות למוקד הרפואי על מנת להעביר שידור.
18,15,האם לא הסתדר?
19,18,"יש לתקן מכשיר, אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני"
20,0,סמארט הארט לא נדלק
21,20,יש ללחוץ על כפתור ההפעלה באמצע המכשיר 5 שניות. האם הסתדר?
22,21,יש לפנות למוקד הרפואי על מנת להעביר שידור
23,20,האם לא הסתדר?
24,23,יש להחליף סוללה בגב המכשיר. האם הסתדר?  
25,24,יש לפנות למוקד הרפואי על מנת להעביר שידור
26,23,האם לא הסתדר?
27,26,"יש לתקן מכשיר, אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני"
28,0, מכשיר שבור
29,28,"יש להחליף מכשיר, אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני"
30,0, נקרעו חוטים
31,30,"יש להחליף מכשיר, אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני"
32,0,לא מעביר שידור
33,32,יש לבדוק שה bluetooth מחובר למכשיר במסך האפליקציה. האם הסתדר?
34,33,יש לפנות למוקד הרפואי על מנת להעביר שידור
35,32,האם לא הסתדר?
36,35,יש לכבות את אפליקציית סמארט הארט ולהפעילה מחדש. האם הסתדר?
37,36,יש לפנות למוקד הרפואי על מנת להעביר שידור
38,35,האם לא הסתדר?
39,38,יש לוודא שיש תקשורת סלולרית. האם הסתדר?
40,39,יש לפנות למוקד הרפואי על מנת להעביר שידור
41,38,האם לא הסתדר?
42,41,יש לעבור לחדר אחר עם תקשורת סלולרית טובה. האם הסתדר?  
43,42,יש לפנות למוקד הרפואי על מנת להעביר שידור
44,41,האם לא הסתדר?
45,44,"יש לתקן מכשיר, אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני"
