1,0,מכשיר שבור
2,1,"יש להחליף מכשיר, אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני"
3,0,כפתור לא תקין
4,3,"יש לתקן מכשיר, אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני"
5,0,לא מעביר שידור אקוסטי
6,5,"יש לקבל הדרכה, אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני"
7,0,לא עובר שידור סלולרי
8,7,"יש לתקן מכשיר, אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני"
9,0,צג לא נדלק או נדלק חלקי
10,9,יש להחליף סוללות במכשיר- 2 סוללות אצבע  האם הסתדר?
11,10,"מצוין, תודה"
12,9,האם לא הסתדר?
13,12,"יש לתקן מכשיר, אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני"
14,0,מעביר שידור חלקי
15,14,"יש לקבל הדרכה, אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני"
16,0,נקרעו חוטים
17,16,"יש להחליף מכשיר, אנא צור קשר עם שירות הלקוחות לתיאום נציג טכני"
